"71666720","71667092","US","USA","UNITED STATES"
"71667093","71667093","DE","DEU","GERMANY"
"71667094","71667113","US","USA","UNITED STATES"
"71667114","71667114","NL","NLD","NETHERLANDS"
"71667115","71667529","US","USA","UNITED STATES"
"71667530","71667530","GB","GBR","UNITED KINGDOM"
"71667531","71667625","US","USA","UNITED STATES"
"71667626","71667626","DE","DEU","GERMANY"
"71667627","71667633","US","USA","UNITED STATES"
"71667634","71667634","DE","DEU","GERMANY"
"71667635","71667656","US","USA","UNITED STATES"
"71667657","71667657","NL","NLD","NETHERLANDS"
"71667658","72303007","US","USA","UNITED STATES"
"72303008","72303039","CA","CAN","CANADA"
"72303040","72348895","US","USA","UNITED STATES"
"72348896","72348927","CA","CAN","CANADA"
"72348928","83886079","US","USA","UNITED STATES"
"83886080","83951615","SY","SYR","SYRIAN ARAB REPUBLIC"
"83951616","83959807","UA","UKR","UKRAINE"
"83959808","83961855","ES","ESP","SPAIN"
"83961856","83962111","KW","KWT","KUWAIT"
"83962112","83962367","SA","SAU","SAUDI ARABIA"
"83962368","83963647","CY","CYP","CYPRUS"
"83963648","83963903","JO","JOR","JORDAN"
"83963904","83965951","RU","RUS","RUSSIAN FEDERATION"
"83965952","83967999","CZ","CZE","CZECH REPUBLIC"
"83968000","83976191","DE","DEU","GERMANY"
"83976192","83978239","CH","CHE","SWITZERLAND"
"83978240","83980287","IQ","IRQ","IRAQ"
"83980288","83982335","CH","CHE","SWITZERLAND"
"83982336","84017151","DE","DEU","GERMANY"
"84017152","84021247","IT","ITA","ITALY"
"84021248","84023295","GB","GBR","UNITED KINGDOM"
"84023296","84025343","ES","ESP","SPAIN"
"84025344","84033535","RU","RUS","RUSSIAN FEDERATION"
"84033536","84037631","NL","NLD","NETHERLANDS"
"84037632","84039679","TR","TUR","TURKEY"
"84039680","84041727","ES","ESP","SPAIN"
"84041728","84049919","GB","GBR","UNITED KINGDOM"
"84049920","84082687","RO","ROM","ROMANIA"
"84082688","84148223","RU","RUS","RUSSIAN FEDERATION"
"84148224","84410367","DE","DEU","GERMANY"
"84410368","84443135","RU","RUS","RUSSIAN FEDERATION"
"84443136","84451327","LB","LBN","LEBANON"
"84451328","84457471","RU","RUS","RUSSIAN FEDERATION"
"84459520","84471807","RU","RUS","RUSSIAN FEDERATION"
"84471808","84473855","IQ","IRQ","IRAQ"
"84473856","84475903","HU","HUN","HUNGARY"
"84475904","84545535","DE","DEU","GERMANY"
"84545536","84549631","GB","GBR","UNITED KINGDOM"
"84549632","84551679","GE","GEO","GEORGIA"
"84551680","84557823","DE","DEU","GERMANY"
"84557824","84574207","GB","GBR","UNITED KINGDOM"
"84574208","84576255","FR","FRA","FRANCE"
"84576256","84582399","GB","GBR","UNITED KINGDOM"
"84582400","84590591","DE","DEU","GERMANY"
"84590592","84592639","NL","NLD","NETHERLANDS"
"84592640","84594687","ES","ESP","SPAIN"
"84594688","84598783","DE","DEU","GERMANY"
"84598784","84600831","IQ","IRQ","IRAQ"
"84600832","84602879","GB","GBR","UNITED KINGDOM"
"84602880","84606975","AZ","AZE","AZERBAIJAN"
"84606976","84609023","AT","AUT","AUSTRIA"
"84609024","84615167","GB","GBR","UNITED KINGDOM"
"84615168","84617215","IT","ITA","ITALY"
"84617216","84619263","PS","PSE","PALESTINIAN TERRITORY, OCCUPIED"
"84619264","84621311","DE","DEU","GERMANY"
"84621312","84623359","GR","GRC","GREECE"
"84623360","84627455","RU","RUS","RUSSIAN FEDERATION"
"84627456","84631551","GB","GBR","UNITED KINGDOM"
"84631552","84639743","IT","ITA","ITALY"
"84639744","84672511","TR","TUR","TURKEY"
"84672512","84934655","RO","ROM","ROMANIA"
"84934656","85196799","RU","RUS","RUSSIAN FEDERATION"
"85196800","85262335","LT","LTU","LITHUANIA"
"85262336","85327871","OM","OMN","OMAN"
"85327872","85360639","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"85360640","85362687","IL","ISR","ISRAEL"
"85362688","85364735","GB","GBR","UNITED KINGDOM"
"85364736","85366783","DE","DEU","GERMANY"
"85366784","85368831","CZ","CZE","CZECH REPUBLIC"
"85368832","85377023","RS","SRB","SERBIA"
"85377024","85385215","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"85385216","85387263","GB","GBR","UNITED KINGDOM"
"85387264","85389311","SE","SWE","SWEDEN"
"85389312","85391359","DE","DEU","GERMANY"
"85391360","85393407","NL","NLD","NETHERLANDS"
"85401600","85403647","IT","ITA","ITALY"
"85403648","85405695","FR","FRA","FRANCE"
"85405696","85407743","RU","RUS","RUSSIAN FEDERATION"
"85407744","85409791","FI","FIN","FINLAND"
"85409792","85417983","CH","CHE","SWITZERLAND"
"85417984","85422079","RU","RUS","RUSSIAN FEDERATION"
"85422080","85424127","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"85424128","85426175","TR","TUR","TURKEY"
"85426176","85458943","BE","BEL","BELGIUM"
"85458944","85721087","TR","TUR","TURKEY"
"85721088","85723135","HU","HUN","HUNGARY"
"85723136","85725183","IT","ITA","ITALY"
"85725184","85729279","RU","RUS","RUSSIAN FEDERATION"
"85729280","85731327","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"85731328","85733375","DE","DEU","GERMANY"
"85733376","85737471","GB","GBR","UNITED KINGDOM"
"85737472","85753855","DE","DEU","GERMANY"
"85753856","85770239","IL","ISR","ISRAEL"
"85770240","85786623","DE","DEU","GERMANY"
"85786624","85852159","IL","ISR","ISRAEL"
"85852160","86015999","AE","ARE","UNITED ARAB EMIRATES"
"86016000","86018047","BG","BGR","BULGARIA"
"86018048","86020095","SI","SVN","SLOVENIA"
"86020096","86022143","RU","RUS","RUSSIAN FEDERATION"
"86022144","86024191","GB","GBR","UNITED KINGDOM"
"86024192","86026239","DE","DEU","GERMANY"
"86026240","86028287","MD","MDA","REPUBLIC OF MOLDOVA"
"86028288","86030335","MK","MKD","THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"
"86030336","86032383","DE","DEU","GERMANY"
"86032384","86048767","OM","OMN","OMAN"
"86048768","86114303","DK","DNK","DENMARK"
"86114304","86147071","KZ","KAZ","KAZAKHSTAN"
"86147072","86155263","ES","ESP","SPAIN"
"86155264","86157311","PS","PSE","PALESTINIAN TERRITORY, OCCUPIED"
"86157312","86159359","IL","ISR","ISRAEL"
"86159360","86161407","UA","UKR","UKRAINE"
"86161408","86163455","IT","ITA","ITALY"
"86163456","86171647","IR","IRN","ISLAMIC REPUBLIC OF IRAN"
"86171648","86173695","DE","DEU","GERMANY"
"86173696","86175743","NL","NLD","NETHERLANDS"
"86175744","86177791","EE","EST","ESTONIA"
"86177792","86179839","LI","LIE","LIECHTENSTEIN"
"86179840","86220799","RU","RUS","RUSSIAN FEDERATION"
"86220800","86222847","JE","JEY","JERSEY"
"86222848","86223871","NL","NLD","NETHERLANDS"
"86223872","86224895","RU","RUS","RUSSIAN FEDERATION"
"86224896","86226943","NL","NLD","NETHERLANDS"
"86226944","86228991","SE","SWE","SWEDEN"
"86228992","86231039","BE","BEL","BELGIUM"
"86231040","86233087","ES","ESP","SPAIN"
"86233088","86235135","RO","ROM","ROMANIA"
"86235136","86237183","ES","ESP","SPAIN"
"86237184","86245375","DE","DEU","GERMANY"
"86245376","86376447","OM","OMN","OMAN"
"86376448","86409215","AE","ARE","UNITED ARAB EMIRATES"
"86409216","86441983","HU","HUN","HUNGARY"
"86441984","86442700","FR","FRA","FRANCE"
"86442701","86442702","CH","CHE","SWITZERLAND"
"86442703","86442723","FR","FRA","FRANCE"
"86442724","86442724","PL","POL","POLAND"
"86442725","86444319","FR","FRA","FRANCE"
"86444320","86444323","ES","ESP","SPAIN"
"86444324","86446427","FR","FRA","FRANCE"
"86446428","86446431","DE","DEU","GERMANY"
"86446432","86447095","FR","FRA","FRANCE"
"86447096","86447103","ES","ESP","SPAIN"
"86447104","86449363","FR","FRA","FRANCE"
"86449364","86449367","DE","DEU","GERMANY"
"86449368","86454335","FR","FRA","FRANCE"
"86454336","86454343","DE","DEU","GERMANY"
"86454344","86456195","FR","FRA","FRANCE"
"86456196","86456211","DE","DEU","GERMANY"
"86456212","86456351","FR","FRA","FRANCE"
"86456352","86456367","CH","CHE","SWITZERLAND"
"86456368","86457087","FR","FRA","FRANCE"
"86457088","86457091","DE","DEU","GERMANY"
"86457092","86469691","FR","FRA","FRANCE"
"86469692","86469695","DE","DEU","GERMANY"
"86469696","86474307","FR","FRA","FRANCE"
"86474308","86474311","DE","DEU","GERMANY"
"86474312","86474475","FR","FRA","FRANCE"
"86474476","86474479","DE","DEU","GERMANY"
"86474480","86474527","FR","FRA","FRANCE"
"86474528","86474531","DE","DEU","GERMANY"
"86474532","86474751","FR","FRA","FRANCE"
"86474752","86482943","HR","HRV","CROATIA"
"86482944","86484991","RU","RUS","RUSSIAN FEDERATION"
"86484992","86487039","NL","NLD","NETHERLANDS"
"86487040","86489087","GB","GBR","UNITED KINGDOM"
"86489088","86491135","NL","NLD","NETHERLANDS"
"86491136","86493183","PL","POL","POLAND"
"86493184","86495231","RU","RUS","RUSSIAN FEDERATION"
"86495232","86497279","ES","ESP","SPAIN"
"86497280","86499327","NL","NLD","NETHERLANDS"
